Total Cases,Deaths,Recovered,Date,Currently Positive
0.0004640333058495594,3.5789273553372024e-05,4.55906918434753e-05,3/16/20,0.0003826533404527121
0.0005225101263079421,4.151091367196023e-05,4.8774908952950475e-05,3/17/20,0.0004322243036830314
0.0005922809668264944,4.938853412508892e-05,6.675246805019573e-05,3/18/20,0.0004761399646512098
0.0006805434848297595,5.647010030084881e-05,7.363502065661343e-05,3/19/20,0.0005504383638722972
0.0007798180870032929,6.686855929897868e-05,7.363502065661343e-05,3/20/20,0.0006393145070477007
0.0008885624181846925,8.002003933967562e-05,0.00010070086608715242,3/21/20,0.0007078415127578644
0.0009807720386465777,9.08165254764899e-05,0.0001164892759216335,3/22/20,0.0007734662372484543
0.0010601950372782268,0.00010078378840771168,0.0001164892759216335,3/23/20,0.0008429219729488817
0.0011472468894013267,0.00011310604524281612,0.00013808224819526204,3/24/20,0.0008960585959632485
0.0012336519474240647,0.0001244332342312096,0.0001552637530151385,3/25/20,0.0009539549601777165
0.0013365253783098694,0.00013624137267884668,0.00017183163266287652,3/26/20,0.0010284523729681462
0.0014345229767467901,0.00015148249519763673,0.00018159988202475608,3/27/20,0.0011014405995243973
0.0015335985653509813,0.00016622608379307125,0.00020538200356114882,3/28/20,0.0011619904779967612
0.0016201197146225022,0.00017876393866162976,0.00021609556737740382,3/29/20,0.0012252602085834686
0.001687286794275494,0.00019223052352045186,0.00024246486531524512,3/30/20,0.0012525914054397971
0.0017545036273208215,0.0002061117199820702,0.00026085703601528665,3/31/20,0.0012875348713234647
0.0018338105347036877,0.00021816862539138506,0.0002793984668923348,4/1/20,0.0013362434424199678
0.001911226813177803,0.00023077281811639098,0.00030313083503639195,4/2/20,0.0013773231600250199
0.0019872665811306346,0.00024347651762606797,0.0003276758419219298,4/3/20,0.0014161142215826368
0.002066954931188073,0.00025477053768623774,0.0003482074084923999,4/4/20,0.0014639769850094354
0.002138533478294817,0.0002634773813449589,0.00036179008460000497,4/5/20,0.0015132660123498532
0.002198220964633365,0.00027402510052009545,0.0003787394069223155,4/6/20,0.0015454564571909539
0.0022486211510692766,0.00028404211684365273,0.00040452824861624204,4/7/20,0.0015600507856093817
0.0023122391554023327,0.0002930308963922754,0.00043933903878701496,4/8/20,0.0015798692202230423
0.0023819602425285496,0.0003031474195005038,0.0004721596932643658,4/9/20,0.0016066531297636798
0.0024474854602344687,0.00031260056404425825,0.0005050798545263879,4/10/20,0.0016298050416638226
0.0025253329347754917,0.0003228663473294933,0.0005395589554149237,4/11/20,0.0016629076320310748
0.0025931965619211813,0.0003300142513617006,0.000567371101730496,4/12/20,0.0016958112088289847
0.002645487377265844,0.00033940105804900763,0.0005876704858034002,4/13/20,0.0017184158334134364
0.002694776404606262,0.00034938490544434125,0.0006157811524729858,4/14/20,0.0017296103466889349
0.0027390071703925654,0.00035897072570099047,0.0006317354069485853,4/15/20,0.0017483010377429896
0.002801795951520029,0.0003676775693597117,0.0006660984165883382,4/16/20,0.0017680199655719792
0.0028597254846627206,0.00037721363622402534,0.0007086043981070094,4/17/20,0.001773907450331686
0.0029176218488771886,0.00038520734792593696,0.0007450902191530792,4/18/20,0.0017873242817981725
0.0029681547110259952,0.00039238842088636794,0.0007803819587830957,4/19/20,0.0017953843313565315
0.0030055692620623285,0.0003999177675931478,0.0008105988523948862,4/20/20,0.0017950526420742944
0.0030508282646235668,0.00040877387142887564,0.0008557583481714533,4/21/20,0.001786296045023238
0.003106717908680501,0.00041602128224575404,0.0009045664260526275,4/22/20,0.0017861302003821192
0.0031506004007204554,0.0004237164735936524,0.0009548671057038682,4/23/20,0.0017720168214229348
0.003200702066802354,0.0004306819485206293,0.0010033269098386934,4/24/20,0.0017666932084430315
0.003239791648713984,0.000437564501127047,0.0010468113747399638,4/25/20,0.0017554157728469732
0.0032783339433099233,0.000441876461796128,0.0010767960858541884,4/26/20,0.001759661395659607
0.00330717432640043,0.000447399088345374,0.0011049233369878858,4/27/20,0.0017548519010671703
0.0033418524408583084,0.0004537343536361006,0.001143349540335042,4/28/20,0.0017447685468871658
0.003376447632995627,0.00045909113554422814,0.001181676236897527,4/29/20,0.001735680260553872
0.00340749374981301,0.00046381770781610536,0.0012595071269744385,4/30/20,0.001684168915022466
0.003440082221792795,0.00046827892866219297,0.0012977177322881406,5/1/20,0.0016740855608424615
0.0034715927036053098,0.0004761399646512098,0.0013253308650343707,5/2/20,0.0016701218739197292
0.0034946285242566694,0.0004790256614066717,0.0013541878325889895,5/3/20,0.0016614150302610082
0.003514878154937238,0.00048225963190848243,0.0013745038011260056,5/4/20,0.0016581147219027498
0.003532706453857477,0.000486173565438879,0.0014135104607170765,5/5/20,0.0016330224277015214
0.003556654420034988,0.0004922932326961516,0.0015464183561094413,5/6/20,0.0015179428312293948
0.0035798892542556896,0.0004968373758627984,0.0015966858668324583,5/7/20,0.001486366011560433
0.0036018968381321143,0.0005008674006419779,0.0016422433897477098,5/8/20,0.0014587860477424264
0.0036198578127652477,0.0005040847866796768,0.001708713921908004,5/9/20,0.0014070591041775667
0.0036331585529829516,0.0005068212232581321,0.0017444534420690406,5/10/20,0.0013818838876557787
0.003645497394282168,0.0005097898423341532,0.0017676882762897423,5/11/20,0.001368019275658272
0.0036687488129669814,0.0005126423701613913,0.0018083533822919981,5/12/20,0.0013477530605135917
0.003683475817098304,0.0005158763406632021,0.0018664321756116963,5/13/20,0.0013011673008234055
0.003699927605497259,0.0005202214702605068,0.001911989698526948,5/14/20,0.001267716436709804
0.0037130127476815086,0.0005242349105755744,0.001993535508564914,5/15/20,0.0011952423285410203
0.003727524153779377,0.0005267723335846874,0.0020367380375762825,5/16/20,0.0011640137826184073
0.003738718667054876,0.0005291770808809057,0.0020759768796649197,5/17/20,0.0011335647065090506
0.00374619826036932,0.0005308189428279788,0.0021116334775053967,5/18/20,0.0011037458400359442
0.003759681429692254,0.0005335056260140985,0.0021460462405374853,5/19/20,0.0010801295631406704
0.003770710098326634,0.0005361757247361064,0.0021938260816437246,5/20/20,0.001040708291946803
0.003781357324286442,0.0005387629011375549,0.0022316054908905186,5/21/20,0.0010109889322583681
0.003792170394887368,0.0005409188814720954,0.0022674279333721147,5/22/20,0.000983823580043158
0.0038032654013781956,0.0005428924327014055,0.002302586997289236,5/23/20,0.0009577859713875538
0.003812071751821588,0.000543721655906998,0.002329768933968558,5/24/20,0.0009385811619460316
0.0038170470910551427,0.0005452474266052882,0.0023546787990645565,5/25/20,0.0009171208653852981
0.003823631123307547,0.0005465410148060125,0.0023990754094919786,5/26/20,0.0008780146990095558
0.0038333164503488674,0.0005484813971070989,0.002439591255317228,5/27/20,0.0008452437979245405
0.0038431510375671945,0.0005496423095949284,0.002497686633101038,5/28/20,0.0007958220948712279
0.003851708621048909,0.0005510851579726594,0.0025348358327115816,5/29/20,0.000765787630364668
0.0038586077581194383,0.0005529260334890747,0.002581089903119531,5/30/20,0.0007245918215108326
0.0038641303846686844,0.0005541698682974634,0.0026121691888651376,5/31/20,0.0006977913275060836
0.0038674472774910544,0.0005551649361441745,0.0026262328144319863,6/1/20,0.0006860495269148934
0.0038727211370786227,0.0005560770816703262,0.0026550400285942698,6/2/20,0.0006616040268140268
0.0038780447500585268,0.0005572545786222676,0.0026690704852328946,6/3/20,0.0006517196862033648
0.003880980200206324,0.0005587140114641103,0.002684941817387935,6/4/20,0.0006373243713542792
0.003889570952616262,0.0005601236909136176,0.002716220116702884,6/5/20,0.0006132271449997605
0.003894048757926462,0.0005613177723296708,0.002737730166655953,6/6/20,0.0005950008189408379
0.003897315897356496,0.0005621967489275988,0.0027503177749168472,6/7/20,0.0005848013735120501
0.003901959547307814,0.0005632747390948691,0.002762706369608399,6/8/20,0.0005759784386045459
0.003906652950651467,0.0005645849117597052,0.0027969035346070334,6/9/20,0.0005451645042847285
0.003910003012402062,0.0005657624087116465,0.0028183472467036555,6/10/20,0.0005258933569867595
0.003916288524300452,0.0005666413853095746,0.0028415489119961333,6/11/20,0.0005080982269947444
0.003918991791950684,0.0005675701152998381,0.002870521970799535,6/12/20,0.0004808997058513109
0.003924730016533384,0.0005688637035005625,0.002900042316918628,6/13/20,0.00045582399611419303
0.00393033556540319,0.0005695934199214838,0.002925001935406962,6/14/20,0.0004357402100747436
0.003935327489100856,0.0005700246159883919,0.0029356159924385458,6/15/20,0.0004296868806739182
0.003938810226564345,0.0005705884877681949,0.00296075804003211,6/16/20,0.00040746369876403996
0.0039442499307930316,0.0005713016197250044,0.002976165007192019,6/17/20,0.00039678330387600807
0.003949739388414053,0.0005723961943563864,0.0029942254886098233,6/18/20,0.0003831177054478439
0.0039472848877255,0.0005731756641696434,0.0030168301131942746,6/19/20,0.0003572791103615817
0.003951663186251028,0.000573988302911124,0.0030258852305993446,6/20/20,0.00035178965274055944
0.003955378106212082,0.0005743863300498084,0.0030331823948085584,6/21/20,0.00034780938135371567
0.003959043272780801,0.000574767772724381,0.0030420219141801745,6/22/20,0.0003422535858762458
0.003960917317225441,0.0005750662930783943,0.0030612433080858086,6/23/20,0.00032460771606123784
0.003970486553017977,0.000574552174690927,0.0030865512003204914,6/24/20,0.000309383178006559
0.003975395554395085,0.0005751160464707298,0.0030967340612851673,6/25/20,0.000303545446639188
0.003979624592743607,0.0005756135803940853,0.0031114942343447136,6/26/20,0.0002925167780048082
0.003982526873963181,0.0005757462561069802,0.0031275645800690963,6/27/20,0.0002792160377871043
0.003985412570718642,0.0005761111143174408,0.003132656010551434,6/28/20,0.00027664544584976754
0.003987502213196736,0.000576210621102112,0.0031377142721055484,6/29/20,0.0002735773199890757
0.003989857207100618,0.0005765920637766845,0.0031551611283512143,6/30/20,0.00025810401497271956
0.003992875579568975,0.0005769403375230334,0.003162939242019672,7/1/20,0.0002529960000262699
0.003996209056855457,0.0005774378714463889,0.003169009155884609,7/2/20,0.000249762029524459
0.003999907392352399,0.0005776866384080665,0.0031753775901035594,7/3/20,0.0002468431638407735
0.004003804741418684,0.0005780349121544154,0.0031832883794849116,7/4/20,0.0002424814497793571
0.004006988958528159,0.0005781510034031984,0.003186008231599255,7/5/20,0.00024282972352570546
0.004010438527063424,0.0005782836791160932,0.003188213965326131,7/6/20,0.00024394088262119987
0.004012710598646748,0.0005787812130394487,0.003197733447726333,7/7/20,0.00023619593788096627
0.004015911400220335,0.0005790299800011264,0.003211415630618609,7/8/20,0.00022546578960059953
0.00401946047554027,0.0005792289935704686,0.003217021179488414,7/9/20,0.00022321030248138732
0.004024037787635141,0.0005794280071398108,0.00322191359640141,7/10/20,0.00022269618409392076
0.004027155666888169,0.0005795440983885938,0.003226988442419636,7/11/20,0.0002206231260799391
0.004031036431490342,0.0005796933585656004,0.003232776420394672,7/12/20,0.00021856665253006937
0.004033839205925244,0.0005799089565990545,0.0032357284550065812,7/13/20,0.00021820179431960825
0.004035729834833995,0.0005801908924889559,0.0032412842504840507,7/14/20,0.00021425469186098873
0.004038416518020115,0.0005804064905224099,0.0032508203173483644,7/15/20,0.0002071897101493408
0.00404223094476584,0.000580738179804647,0.00325463474409409,7/16/20,0.00020685802086710305
0.004046061955975677,0.0005809206089098773,0.0032585652620885984,7/17/20,0.00020657608497720147
0.004050191487539529,0.0005811527914074432,0.003263922043996726,7/18/20,0.00020511665213535958
0.004053806900715912,0.0005812025447997787,0.0032662936223647205,7/19/20,0.00020631073355141267
0.004056957948897163,0.0005814181428332328,0.0032698261132205445,7/20/20,0.0002057136928433857
0.0040590807603034795,0.0005816669097949105,0.003274287334066632,7/21/20,0.00020312651644193705
0.0040637244102547975,0.0005818161699719172,0.0032775544734966666,7/22/20,0.00020435376678621352
0.004068799256273024,0.0005819820146130357,0.0032811035488166025,7/23/20,0.00020571369284338612
0.0040729785412292096,0.0005820649369335949,0.0032869081112557497,7/24/20,0.00020400549303986517
0.004077522684395857,0.0005821478592541542,0.0032890309226620666,7/25/20,0.00020634390247963605
0.004081735138280267,0.0005822307815747135,0.0032911205651401597,7/26/20,0.00020838379156539388
0.004084521328251057,0.0005823137038952727,0.0032935584813646016,7/27/20,0.00020864914299118312
0.0040878713900016515,0.000582496133000503,0.003296261749014833,7/28/20,0.00020911350798631526
0.004092647715665864,0.0005825956397851742,0.0033008224766455916,7/29/20,0.00020922959923509819
0.00409898298095659,0.0005826453931775097,0.003313509591691157,7/30/20,0.00020282799608792356
0.004105268492854981,0.0005827946533545163,0.0033164616263030664,7/31/20,0.0002060122131973983
0.004110160909767977,0.0005828775756750756,0.003320690664651588,8/1/20,0.00020659266944131338
0.004114108012226597,0.0005830102513879704,0.0033245216758614254,8/2/20,0.00020657608497720147
0.004116744942020382,0.0005832092649573126,0.003326661071731854,8/3/20,0.00020687460533121583
0.0041198959902016335,0.0005832921872778718,0.0033295965218796512,8/4/20,0.00020700728104411023
0.004126264424420584,0.0005834580319189904,0.00333307925934314,8/5/20,0.0002097271331584537
0.004132914794529435,0.0005835575387036614,0.003338834068389952,8/6/20,0.00021052318743582186
0.0041420694187191765,0.000583607292095997,0.0033441245124416316,8/7/20,0.00021433761418154784
0.004147824227765989,0.0005838228901294511,0.003349182773995746,8/8/20,0.00021481856364079146
0.004155502834649775,0.0005838560590576748,0.0033516870280766355,8/9/20,0.00021995974751546493
0.004159798210854744,0.0005839223969141221,0.0033541746976934127,8/10/20,0.00022170111624720927
0.0041666310100688265,0.0005840219036987932,0.0033577071885492367,8/11/20,0.00022490191782079637
0.004174525214986066,0.0005841877483399117,0.0033616211220796333,8/12/20,0.00022871634456652148
0.004183182305252452,0.0005842872551245829,0.0033653692109689116,8/13/20,0.00023352583915895765
0.004192701787652654,0.0005843370085169184,0.003372052750005987,8/14/20,0.00023631202912974877
0.004203133415579007,0.0005869573538465906,0.003377260271737108,8/15/20,0.0002389157899953089
0.00421104420496036,0.000587023691703038,0.003379681603497438,8/16/20,0.00024433890975988394
0.004216351233476152,0.0005870900295594855,0.0033826999759657946,8/17/20,0.0002465612279508719
