Total Cases,Deaths,Recovered,Total Cases Number,Deaths Number,Recovered Number,Date,Currently Positive,Currently Positive Number
0.00044233284719820783,3.3077235344529476e-06,0.0003094225015410985,2942,22,2058,7/7/20,0.00012960262212265638,862
0.0004657876140788742,3.3077235344529476e-06,0.0003220519913999188,3098,22,2142,7/8/20,0.00014042789914450239,934
0.0005107425839334847,3.3077235344529476e-06,0.0003220519913999188,3397,22,2142,7/9/20,0.0001853828689991129,1233
0.0005352498083023861,3.458074604200809e-06,0.00034370254544361083,3560,23,2286,7/10/20,0.00018808918825457443,1251
0.0005711837139721249,3.60842567394867e-06,0.00034415359865285443,3799,24,2289,7/11/20,0.00022342168964532177,1486
0.0005964426936897657,3.60842567394867e-06,0.0003501676414427689,3967,24,2329,7/12/20,0.0002426666265730481,1614
0.0006350829186149659,3.60842567394867e-06,0.0003600908120461277,4224,24,2395,7/13/20,0.00027138368089488956,1805
0.0006687615582384868,4.059478883192254e-06,0.0003740734615326788,4448,27,2488,7/14/20,0.00029062861782261574,1933
0.0007141675813023409,4.3601810226879764e-06,0.00038955962171670854,4750,29,2591,7/15/20,0.00032024777856294443,2130
0.0007765632752477034,4.81123423193156e-06,0.0004012870051570417,5165,32,2669,7/16/20,0.00037046503585873015,2464
0.0008048292763603012,5.111936371427282e-06,0.00040730104794695613,5353,34,2709,7/17/20,0.0003924162920419178,2610
0.0008563996932838177,5.713340650418728e-06,0.0004238396656192209,5696,38,2819,7/18/20,0.00042684668701417806,2839
0.0008933860564417916,5.863691720166589e-06,0.00044097968757047704,5942,39,2933,7/19/20,0.00044654267715114795,2970
0.0009455578776442994,6.314744929410173e-06,0.00044097968757047704,6289,42,2933,7/20/20,0.0004982634451444122,3314
0.001013215859030837,6.615447068905895e-06,0.00046278059268391696,6739,44,3078,7/21/20,0.0005438198192780141,3617
0.0010712513719535115,7.367202417645201e-06,0.0004958578280284464,7125,49,3298,7/22/20,0.0005680263415074198,3778
0.0011133496714829127,8.26930883613237e-06,0.0004958578280284464,7405,55,3298,7/23/20,0.000609222534618334,4052
0.0011643186841274375,9.171415254619536e-06,0.0005187111906301213,7744,61,3450,7/24/20,0.0006364360782426967,4233
0.0012300221016072529,1.0674925952098148e-05,0.0005305889251402024,8181,71,3529,7/25/20,0.0006887582505149524,4581
0.0013074529025274015,1.1577032370585317e-05,0.0005532919366721294,8696,77,3680,7/26/20,0.0007425839334846868,4939
0.0013605268301483966,1.2479138789072485e-05,0.0005738900332275864,9049,83,3817,7/27/20,0.0007741576581317376,5149
0.0013988663529341011,1.3832298416803235e-05,0.000619897460570432,9304,92,4123,7/28/20,0.0007651365939468659,5089
0.0015032099953391168,1.5786862323525433e-05,0.000619897460570432,9998,105,4123,7/29/20,0.0008675256724451594,5770
0.0015902632647231286,1.683931981176046e-05,0.0006403452060561411,10577,112,4259,7/30/20,0.0009330787388552271,6206
0.0016434875434138713,1.7440724090751906e-05,0.0006734224414006706,10931,116,4479,7/31/20,0.0009526243779224488,6336
0.0017376073130760325,1.8493181578986934e-05,0.0007060486235359565,11557,123,4696,8/1/20,0.001013065507961089,6738
0.0017947407195802198,2.044774548570913e-05,0.0007684443174813189,11937,136,5111,8/2/20,0.001005848656613192,6690
0.0018545804453398685,2.2101607252935606e-05,0.0007684443174813189,12335,147,5111,8/3/20,0.001064034520605614,7077
0.0019598261941633716,2.4356873299153524e-05,0.000794304701477951,13035,162,5283,8/4/20,0.0011411646193862672,7590
0.0020250785584339432,2.5559681857136414e-05,0.0008155042023123995,13469,170,5424,8/5/20,0.0011840146742644075,7875
0.002084918284193592,2.7213543624362887e-05,0.0008461758205409632,13867,181,5628,8/6/20,0.0012115289200282662,8058
0.0021474643292087024,2.901775646133722e-05,0.0009120295890905264,14283,193,6066,8/7/20,0.0012064169836568388,8024
0.0022039963314338983,3.1573724647050865e-05,0.0009589391228518591,14659,210,6378,8/8/20,0.0012134834839349882,8071
0.002248800950218761,3.428004390251237e-05,0.0009589391228518591,14957,228,6378,8/9/20,0.0012555817834643895,8351
0.002293004164724632,3.698636315797387e-05,0.0009986318052652944,15251,246,6642,8/10/20,0.0012573859963013636,8363
0.002352392837275037,4.014373562267895e-05,0.0010357685194930162,15646,267,6889,8/11/20,0.001276480582159342,8490
0.002385019019410323,4.134654418066184e-05,0.0010932026281366993,15863,275,7271,8/12/20,0.001250469847092962,8317
0.0024407992662867795,4.34514591571319e-05,0.0011265805656207244,16234,289,7493,8/13/20,0.0012707672415089232,8452
0.0024833486190254245,4.405286343612335e-05,0.0012210010374223812,16517,293,8121,8/14/20,0.00121829471816692,8103
0.0025204853332531463,4.645848055208913e-05,0.0012210010374223812,16764,309,8121,8/15/20,0.001253025815278676,8334
0.0025600276645968336,5.021725729578566e-05,0.0012885086677391709,17027,334,8570,8/16/20,0.0012213017395618772,8123
0.0025917517403136322,5.27732254814993e-05,0.0013566177023349522,17238,351,9023,8/17/20,0.0011823608124971808,7864
0.0026230247628211876,5.4577438318473635e-05,0.001415254619536618,17446,363,9413,8/18/20,0.0011531927049660958,7670
0.0026586579663514308,5.653200222519583e-05,0.001462765557576942,17683,376,9729,8/19/20,0.0011393604065492928,7578
0.0026840672971388192,5.788516185292658e-05,0.0018544300942701208,17852,385,12334,8/20/20,0.0007717520410157718,5133
0.0027106794364841905,5.983972575964878e-05,0.0019455428425373246,18029,398,12940,8/21/20,0.0007052968681872172,4691
0.0027410503525732584,6.239569394536242e-05,0.0019904978123919353,18231,415,13239,8/22/20,0.0006881568462359607,4577
0.002755935108478297,6.465095999158034e-05,0.0020610124641036822,18330,430,13708,8/23/20,0.0006302716843830341,4192
0.00277608215182451,6.585376854956323e-05,0.002116492008840643,18464,438,14077,8/24/20,0.000593736374434304,3949
0.0027977327058682023,6.94621942235119e-05,0.0021909157883658343,18608,462,14572,8/25/20,0.000537354723278856,3574
0.0028136699192614755,7.292026882771271e-05,0.0021909157883658343,18714,485,14572,8/26/20,0.0005498338620679283,3657
0.0028299078347942446,7.457413059493918e-05,0.0022307588218490174,18822,496,14837,8/27/20,0.0005245748823502878,3489
