date,Total Cases,Total Deaths,Total Recovered,Currently Positive,Currently Hospitalized,Currently Critical
2020-05-09,0.00022308129722000582,2.7149853617039246e-06,0.0002015122468464691,1.885406501183281e-05,1.0558276406626375e-06,1.508325200946625e-06
2020-05-10,0.00022458962242095245,2.7149853617039246e-06,0.00020302057204741572,1.885406501183281e-05,1.0558276406626375e-06,1.3574926808519623e-06
2020-05-11,0.00022564545006161508,2.7149853617039246e-06,0.000205132227328741,1.7798237371170173e-05,1.0558276406626375e-06,1.3574926808519623e-06
2020-05-12,0.00022760627282284568,2.7149853617039246e-06,0.00020754554765025558,1.7345739810886188e-05,1.2066601607573e-06,1.2066601607573e-06
2020-05-13,0.000228360435423319,2.7149853617039246e-06,0.00020890304033110754,1.6742409730507535e-05,1.3574926808519623e-06,1.508325200946625e-06
2020-05-14,0.00022971792810417096,2.7149853617039246e-06,0.00020890304033110754,1.80999024113595e-05,1.3574926808519623e-06,1.508325200946625e-06
2020-05-15,0.00023273457850606422,2.7149853617039246e-06,0.0002122213557731901,1.7798237371170173e-05,1.3574926808519623e-06,1.80999024113595e-06
2020-05-16,0.00023439373622710552,2.7149853617039246e-06,0.00021372968097413674,1.7949069891264838e-05,1.6591577210412873e-06,1.9608227612306126e-06
2020-05-17,0.00023544956386776814,2.7149853617039246e-06,0.00021372968097413674,1.9004897531927475e-05,1.6591577210412873e-06,1.9608227612306126e-06
2020-05-18,0.00023635455898833612,2.7149853617039246e-06,0.00021704799641621933,1.6591577210412873e-05,1.3574926808519623e-06,1.3574926808519623e-06
2020-05-19,0.0002372595541089041,2.7149853617039246e-06,0.00021931048421763925,1.523408452956091e-05,1.6591577210412873e-06,1.3574926808519623e-06
2020-05-20,0.00023831538174956673,2.7149853617039246e-06,0.00022096964193868055,1.4630754449182261e-05,1.508325200946625e-06,1.3574926808519623e-06
2020-05-21,0.0002384662142696614,2.7149853617039246e-06,0.00022217630209943784,1.3574926808519623e-05,1.508325200946625e-06,1.3574926808519623e-06
2020-05-22,0.00024027620451079734,2.7149853617039246e-06,0.00022308129722000582,1.44799219290876e-05,1.508325200946625e-06,1.3574926808519623e-06
2020-05-23,0.0002416336971916493,2.8658178817985874e-06,0.00022383545982047914,1.4932419489371586e-05,1.508325200946625e-06,9.04995120567975e-07
2020-05-24,0.00024178452971174397,2.8658178817985874e-06,0.00022594711510180441,1.2971596728140974e-05,1.3574926808519623e-06,9.04995120567975e-07
2020-05-25,0.0002420861947519333,2.8658178817985874e-06,0.00022926543054388698,9.954946326247724e-06,1.2066601607573e-06,9.04995120567975e-07
2020-05-26,0.00024284035735240662,2.8658178817985874e-06,0.0002312262533051176,8.748286165490425e-06,1.2066601607573e-06,9.04995120567975e-07
2020-05-27,0.0002440470175131639,2.8658178817985874e-06,0.0002312262533051176,9.954946326247724e-06,1.2066601607573e-06,7.541626004733125e-07
2020-05-28,0.0002455553427141105,2.8658178817985874e-06,0.0002331870760663482,9.502448765963738e-06,1.2066601607573e-06,6.0333008037865e-07
2020-05-29,0.0002464603378346785,2.8658178817985874e-06,0.0002336395736266322,9.954946326247724e-06,1.0558276406626375e-06,4.524975602839875e-07
2020-05-30,0.0002481194955557198,2.8658178817985874e-06,0.00023590206142805214,9.351616245869074e-06,1.0558276406626375e-06,4.524975602839875e-07
2020-05-31,0.00024872282563609844,2.8658178817985874e-06,0.0002348462337873895,1.1010773966910362e-05,9.04995120567975e-07,4.524975602839875e-07
2020-06-01,0.0002493261557164771,2.8658178817985874e-06,0.00023529873134767347,1.1161606487005025e-05,9.04995120567975e-07,3.01665040189325e-07
2020-06-02,0.00025083448091742374,2.8658178817985874e-06,0.00023575122890795748,1.2217434127667661e-05,1.3574926808519623e-06,4.524975602839875e-07
2020-06-03,0.00025189030855808636,2.8658178817985874e-06,0.00023665622402852546,1.2368266647762324e-05,1.3574926808519623e-06,4.524975602839875e-07
2020-06-04,0.00025309696871884366,2.8658178817985874e-06,0.00023891871182994538,1.1312439007099687e-05,1.0558276406626375e-06,4.524975602839875e-07
2020-06-05,0.00025354946627912766,2.8658178817985874e-06,0.0002392203768701347,1.146327152719435e-05,1.0558276406626375e-06,3.01665040189325e-07
2020-06-06,0.00025354946627912766,2.8658178817985874e-06,0.0002396728744304187,1.1010773966910362e-05,1.2066601607573e-06,6.0333008037865e-07
2020-06-07,0.0002541527963595063,2.8658178817985874e-06,0.00024027620451079734,1.1010773966910362e-05,9.04995120567975e-07,4.524975602839875e-07
2020-06-08,0.0002544544613996956,2.8658178817985874e-06,0.00024057786955098667,1.1010773966910362e-05,1.0558276406626375e-06,4.524975602839875e-07
2020-06-09,0.0002544544613996956,2.8658178817985874e-06,0.0002416336971916493,9.954946326247724e-06,1.0558276406626375e-06,3.01665040189325e-07
2020-06-10,0.0002550577914800743,2.8658178817985874e-06,0.00024374535247297457,8.4466211253011e-06,1.3574926808519623e-06,4.524975602839875e-07
2020-06-11,0.0002562644516408316,2.8658178817985874e-06,0.0002444995150734479,8.899118685585086e-06,9.04995120567975e-07,3.01665040189325e-07
2020-06-12,0.0002568677817212102,2.8658178817985874e-06,0.0002461586727944892,7.84329104492245e-06,7.541626004733125e-07,3.01665040189325e-07
2020-06-13,0.0002580744418819675,2.8658178817985874e-06,0.00024751616547534115,7.692458524827787e-06,7.541626004733125e-07,1.508325200946625e-07
2020-06-14,0.00025943193456281946,2.8658178817985874e-06,0.00024992948579685573,6.636630884165149e-06,9.04995120567975e-07,3.01665040189325e-07
2020-06-15,0.0002612419248039554,2.8658178817985874e-06,0.0002505328158772344,7.84329104492245e-06,1.0558276406626375e-06,4.524975602839875e-07
2020-06-16,0.0002625994174848074,2.8658178817985874e-06,0.0002509853134375184,8.748286165490425e-06,9.04995120567975e-07,4.524975602839875e-07
2020-06-17,0.0002657669004067953,2.8658178817985874e-06,0.00025204114107818103,1.0859941446815698e-05,7.541626004733125e-07,6.0333008037865e-07
2020-06-18,0.00026848188576849923,2.8658178817985874e-06,0.00025204114107818103,1.3574926808519623e-05,6.0333008037865e-07,6.0333008037865e-07
2020-06-19,0.0002702918760096352,2.8658178817985874e-06,0.000253398633759033,1.4027424368803612e-05,7.541626004733125e-07,6.0333008037865e-07
2020-06-20,0.00027406268901200174,2.8658178817985874e-06,0.00025430362887960095,1.68932422506022e-05,9.04995120567975e-07,4.524975602839875e-07
2020-06-21,0.00027692850689380033,2.8658178817985874e-06,0.00025551028904035824,1.8552399971643487e-05,7.541626004733125e-07,3.01665040189325e-07
2020-06-22,0.00027858766461484163,2.8658178817985874e-06,0.0002565661166810209,1.9155730052022137e-05,1.0558276406626375e-06,3.01665040189325e-07
2020-06-23,0.0002811518174564509,2.8658178817985874e-06,0.00025822527440206216,2.006072517259011e-05,1.3574926808519623e-06,4.524975602839875e-07
2020-06-24,0.00028416846785834414,3.01665040189325e-06,0.0002595827670829141,2.1569050373536735e-05,1.0558276406626375e-06,3.01665040189325e-07
2020-06-25,0.000289145941021468,3.01665040189325e-06,0.0002612419248039554,2.488736581561931e-05,1.0558276406626375e-06,3.01665040189325e-07
2020-06-26,0.00029367091662430787,3.01665040189325e-06,0.00026275025000490205,2.790401621751256e-05,9.04995120567975e-07,1.508325200946625e-07
2020-06-27,0.0002997042174280944,3.01665040189325e-06,0.00026561606788670064,3.107149913950047e-05,7.541626004733125e-07,1.508325200946625e-07
2020-06-28,0.0003058883507519755,3.01665040189325e-06,0.00026772772316802594,3.514397718205636e-05,1.0558276406626375e-06,1.508325200946625e-07
2020-06-29,0.0003165974596786966,3.01665040189325e-06,0.0002698393784493512,4.3741430827452124e-05,1.3574926808519623e-06,1.508325200946625e-07
2020-06-30,0.0003256474108843763,3.01665040189325e-06,0.0002739118564919071,4.871890399057598e-05,1.3574926808519623e-06,1.508325200946625e-07
2020-07-01,0.000336507352331192,3.01665040189325e-06,0.00027738100445408434,5.6109697475214446e-05,2.2624878014199374e-06,3.01665040189325e-07
2020-07-02,0.00034736729377800774,3.01665040189325e-06,0.0002814534824966402,6.289716087947426e-05,3.01665040189325e-06,6.0333008037865e-07
2020-07-03,0.0003571714075841608,3.01665040189325e-06,0.0002871851182602374,6.696963892203014e-05,3.469147962177237e-06,9.04995120567975e-07
2020-07-04,0.0003724054921137217,3.01665040189325e-06,0.0002923134239434559,7.707541776837254e-05,3.7708130023665623e-06,4.524975602839875e-07
2020-07-05,0.00038251127096006405,3.01665040189325e-06,0.00029729089710657975,8.220372345159106e-05,3.921645522461225e-06,4.524975602839875e-07
2020-07-06,0.0004012145034518022,3.3183154420825747e-06,0.00030045838002856767,9.743780798115196e-05,4.675808122934537e-06,7.541626004733125e-07
2020-07-07,0.00042595103674732685,3.3183154420825747e-06,0.0003058883507519755,0.00011674437055326877,5.279138203313187e-06,1.3574926808519623e-06
2020-07-08,0.00044374927411849706,3.3183154420825747e-06,0.0003104133263548154,0.00013001763232159906,6.184133323881162e-06,1.0558276406626375e-06
2020-07-09,0.0004672791472532644,3.3183154420825747e-06,0.00032308325804276705,0.00014087757376841478,6.0333008037865e-06,1.3574926808519623e-06
2020-07-10,0.0005096630853998645,3.3183154420825747e-06,0.00033198237672835216,0.00017436239322942985,7.089128444449137e-06,1.80999024113595e-06
2020-07-11,0.0005369637715369985,3.469147962177237e-06,0.00034480314093639843,0.00018869148263842277,7.390793484638462e-06,2.2624878014199374e-06
2020-07-12,0.0005730127438396228,3.6199804822719e-06,0.00034525563849668243,0.00022413712486066845,8.597453645395761e-06,2.4133203215146e-06
2020-07-13,0.0005983526072155261,3.6199804822719e-06,0.00035128893930046895,0.00024344368743278526,1.0859941446815698e-05,2.564152841609262e-06
2020-07-14,0.0006371165648798543,3.921645522461225e-06,0.0003612438856267167,0.0002719510337306765,1.2820764208046312e-05,3.921645522461225e-06
2020-07-15,0.0006709030493810587,4.0724780425558875e-06,0.0003752713099955203,0.0002915592613429826,1.5837414609939562e-05,4.0724780425558875e-06
2020-07-16,0.0007164544704496468,4.374143082745212e-06,0.00039080705956527054,0.0003212732678016311,1.6440744690318212e-05,4.374143082745212e-06
2020-07-17,0.0007790499662889318,4.8266406430292e-06,0.0004025719961326542,0.00037165132951324836,1.8401567451548822e-05,7.994123565017112e-06
2020-07-18,0.0008074064800667283,5.279138203313187e-06,0.0004086052969364407,0.00039352204492697446,1.6591577210412873e-05,6.485798364070487e-06
2020-07-19,0.0008591420344591976,5.731635763597175e-06,0.00042519687414685356,0.0004282135245487468,1.9608227612306125e-05,6.938295924354474e-06
2020-07-20,0.0008962468344024846,5.882468283691837e-06,0.0004423917814376451,0.0004479725846811476,2.2172380453915385e-05,7.089128444449137e-06
2020-07-21,0.0009485857188753324,6.3349658439758245e-06,0.00046426249685137114,0.0004779882561799854,2.6244858496471274e-05,8.748286165490425e-06
2020-07-22,0.0010164603529179306,6.636630884165149e-06,0.0004802507439814054,0.00052957297805236,3.092066661940581e-05,9.6532812860584e-06
2020-07-23,0.0010746817056744703,7.390793484638462e-06,0.0004974456512721969,0.0005698452609176349,3.031733653902716e-05,9.6532812860584e-06
2020-07-24,0.0011169148113009757,8.4466211253011e-06,0.0005203721943265856,0.000588095995849089,3.107149913950047e-05,6.184133323881162e-06
2020-07-25,0.0011680470356130663,9.200783725774411e-06,0.0005322879634140639,0.000626558288473228,3.454064710167771e-05,6.3349658439758245e-06
2020-07-26,0.0012339608468944338,1.0709108926721037e-05,0.000555063673948358,0.0006681880640193548,3.4389814581583046e-05,9.502448765963738e-06
2020-07-27,0.0013116395947431851,1.1614104047289011e-05,0.0005757277292013268,0.0007242977614945693,3.695396742319231e-05,1.0105778846342387e-05
2020-07-28,0.001364883474336601,1.2519099167856987e-05,0.0005938276316126862,0.0007585367435560576,3.921645522461225e-05,9.804113806153062e-06
2020-07-29,0.0014033457669607398,1.3876591848708948e-05,0.0006218824803502934,0.0007675866947617374,4.6305583669061384e-05,6.184133323881162e-06
2020-07-30,0.0015080235359064356,1.5837414609939562e-05,0.0006423957030831676,0.0008497904182133285,4.70597462695347e-05,5.128305683218524e-06
2020-07-31,0.0015953555650412453,1.704407477069686e-05,0.0006755788575039933,0.000902732632766555,5.264054951303721e-05,8.899118685585086e-06
2020-08-01,0.0016487502771547556,1.749657233098085e-05,0.0007083095143645351,0.0009229441904592397,5.7165525115877084e-05,9.804113806153062e-06
2020-08-02,0.0017431714347340144,1.8552399971643487e-05,0.0007413418362652661,0.0009832771984971047,5.807052023644506e-05,9.6532812860584e-06
2020-08-03,0.0018004877923699862,2.0513222732874098e-05,0.00077090501020382,0.001009069559433292,6.27463283593796e-05,9.200783725774411e-06
2020-08-04,0.0018605191353676619,2.2172380453915385e-05,0.000796848203660102,0.0010414985512536446,6.877962916316609e-05,5.731635763597175e-06
2020-08-05,0.0019661018994339254,2.4434868255335322e-05,0.0008181155889934493,0.001123551442185141,8.114789581092842e-05,1.0859941446815698e-05
2020-08-06,0.002031563213155009,2.5641528416092625e-05,0.0008488854230927604,0.0011570362616461559,8.672869905443093e-05,1.0859941446815698e-05
2020-08-07,0.0020915945561526847,2.7300686137133912e-05,0.0008792027596317876,0.0011850911103837632,9.155533969746013e-05,1.0407443886531712e-05
2020-08-08,0.0021543408845120645,2.911067637826986e-05,0.0009149500668942227,0.001210280141239572,9.592948278020535e-05,1.1010773966910362e-05
2020-08-09,0.0022110539120676572,3.152399669978446e-05,0.0009620098131637574,0.0012175201022041155,9.562781774001601e-05,1.0407443886531712e-05
2020-08-10,0.0022560020030558668,3.4238982061488384e-05,0.0010018295984687482,0.0012199334225256302,9.6532812860584e-05,1.1764936567383675e-05
2020-08-11,0.0023003467639636974,3.7104799943286974e-05,0.00103908523093213,0.0012241567330882807,9.804113806153062e-05,1.1764936567383675e-05
2020-08-12,0.002359925609401089,4.027228286527489e-05,0.001096703253608291,0.0012229500729275234,9.985112830266656e-05,1.0256611366437049e-05
2020-08-13,0.002392656266261631,4.147894302603219e-05,0.001130188073069306,0.0012209892501662929,0.0001001527933428559,9.351616245869074e-06
2020-08-14,0.002448615131216751,4.359059830735746e-05,0.0011828286225823432,0.0012221959103270502,9.939863074238259e-05,1.0105778846342387e-05
2020-08-15,0.0024913007344035403,4.419392838773611e-05,0.0012249108956887541,0.0012221959103270502,9.970029578257191e-05,1.0407443886531712e-05
2020-08-16,0.0025285563668669218,4.660724870925071e-05,0.0012926346972112574,0.0011893144209464137,9.985112830266656e-05,1.0407443886531712e-05
2020-08-17,0.0025682253196518184,5.037806171161727e-05,0.0013609618288141397,0.0011568854291260614,9.909696570219326e-05,1.146327152719435e-05
2020-08-18,0.002600050981391792,5.294221455322653e-05,0.001419786511651058,0.0011273222551875075,0.00010030362586295055,1.1614104047289011e-05
2020-08-19,0.0026314241455714818,5.4752204794362485e-05,0.0014674495880009713,0.001109222352776148,0.00010181195106389718,1.1161606487005025e-05
2020-08-20,0.002667171452833917,5.67130275555931e-05,0.0018603683028475672,0.0007500901224307565,9.381782749888007e-05,1.0709108926721037e-05
2020-08-21,0.002692662148729915,5.807052023644506e-05,0.0019517728100249326,0.000682818818468537,9.442115757925872e-05,9.804113806153062e-06
2020-08-22,0.00271935950478667,6.0031342997675674e-05,0.0019968717335332366,0.0006624564282557576,9.200783725774412e-05,8.748286165490425e-06
2020-08-23,0.002749827673845792,6.259549583928493e-05,0.0020676121854576335,0.0006196199925488735,8.823702425537756e-05,7.994123565017112e-06
2020-08-24,0.0027647600933351636,6.485798364070486e-05,0.002123269385372564,0.0005766327243218947,9.487365513954271e-05,7.2399609645438e-06
2020-08-25,0.002784971651027848,6.606464380146217e-05,0.0021550950471125375,0.0005638119601138483,9.306366489840676e-05,8.144956085111775e-06
2020-08-26,0.0028066915339214796,6.968462428373407e-05,0.002197931482819422,0.0005390754268183237,8.718119661471492e-05,8.295788605206437e-06
2020-08-27,0.0028226797810515136,7.300293972581664e-05,0.0022379021006445074,0.0005117747406811899,8.024290069036044e-05,6.0333008037865e-06
2020-08-28,0.002838969693221737,7.466209744685793e-05,0.002277721885949498,0.0004865857098253812,7.737708280856186e-05,6.938295924354474e-06
2020-08-29,0.002851187127349405,7.737708280856186e-05,0.002311357537930608,0.0004624525066102352,7.255044216553265e-05,6.485798364070487e-06
