t,TI,currently_infected,DR,recovered,D,deaths,TI+DR+D,total_cases
435.0,0.002292377496409481,0.002290571818785,0.009289022974034474,0.008537451277876201,0.00010993625579205531,9.57393883511e-05,0.01169133672623601,0.0108171816098929
436.0,0.002226580537721501,0.0022159584732679,0.009514994003816134,0.0087989342679457,0.00011319834255270809,9.881970547059999e-05,0.011854772884090344,0.0110071315715647
437.0,0.002158397667737442,0.0021394628337067,0.009734261780989134,0.009060662424618999,0.00011641943924978325,0.00010188904498090001,0.01200907888797636,0.0111954334281871
438.0,0.0020883035784936624,0.0020531049101108,0.00994661416330185,0.0093205404882349,0.00011959392117275426,0.00010462686069580002,0.012154511662968267,0.0113716913839221
439.0,0.0020167521331213084,0.0019911304518954,0.010151880034018469,0.0095419544731706,0.00012271652046697733,0.0001078864787642,0.012291348687606753,0.011534390528710898
440.0,0.001944170261440613,0.0018931121118907,0.010349935477946734,0.0097811565759267,0.00012578240916755746,0.00011045597113930001,0.012419888148554903,0.0116781437838373
441.0,0.0018709574351485109,0.0018263748349979,0.010540697986669489,0.009997748463095599,0.00012878718783332566,0.00011349823254710002,0.012540442609651325,0.011831040655521199
442.0,0.0017974858053629206,0.0017709862104148,0.010724122170495794,0.010204958153668802,0.000131726874922681,0.0001163136233665,0.012653334850781395,0.011985677112330602
443.0,0.0017240988682096453,0.0017148137845404,0.010900197125428182,0.010394840786004599,0.00013459791995247265,0.00011899215999210001,0.0127588939135903,0.012122065855417702
444.0,0.0016511092639615896,0.0016310707274372,0.011068950820609257,0.0106031233549093,0.0001373972385210169,0.00012163922747159999,0.012857457323091863,0.012249252434698701
445.0,0.001578802209069711,0.001547482820543,0.01123043454162493,0.010805337501491501,0.0001401221273726642,0.00012417139597559998,0.012949358878067304,0.012370410842890698
446.0,0.001507429901325063,0.0014827764013376,0.011384734736510395,0.010979531666711699,0.00014277036464673942,0.00012646059339770001,0.013034935002482196,0.0124821877863276
447.0,0.0014372201641713717,0.0013872185094573,0.011531954724952631,0.0111663610600306,0.0001453400840311514,0.00012850608789730003,0.013114514973155154,0.0125755047822659
448.0,0.001368373250505065,0.0013126622475076,0.011672221396384035,0.011335749959818,0.0001478298208346916,0.00013085310072749997,0.013188424467723793,0.012672684432933701
449.0,0.0013010654971048047,0.0012539452118389,0.011805678720494142,0.0114905335165896,0.000150238472123005,0.0001329659245631,0.01325698268972195,0.012770863777872099
450.0,0.001235454741161242,0.0011972861119601,0.011932485272171918,0.0116420764831485,0.0001525652117360143,0.00013495140813279998,0.013320505225069175,0.0128677331281221
451.0,0.0011716494534741056,0.0011381936420594,0.01205282722884573,0.011786903348447,0.0001548099047351536,0.00013742502938819998,0.013379286587054989,0.0129559411447753
452.0,0.0011097726658867617,0.001081513318803,0.01216688095437547,0.011925391010398202,0.0001569722032346079,0.0001393841666961,0.013433625823496841,0.0130397076207779
453.0,0.001049897666094624,0.0010257543828722,0.012274847353894796,0.012053023280609402,0.0001590524190011528,0.0001411603438519,0.013483797438990572,0.013113357132214199
454.0,0.0009920889269776508,0.0009541020644554,0.01237692967719817,0.0121864246503343,0.00016105101426556754,0.0001427140414629,0.013530069618441389,0.0131766598811332
455.0,0.0009363970761727554,0.000901199502418,0.012473336696924003,0.012305468771009602,0.00016296870467185127,0.00014433799577229998,0.01357270247776861,0.0132444253940805
456.0,0.000882856114820821,0.000857229786843,0.0125642817620933,0.0124162452883352,0.00016480646391193058,0.00014593121277609998,0.013611944340826052,0.0133128254128349
457.0,0.0008314841172095278,0.0008208843867232,0.012649980549104153,0.012514736397372701,0.00016656545792021908,0.00015132780542019997,0.0136480301242339,0.0133803677143967
458.0,0.000782284300059183,0.0007908928267628,0.012730650437951343,0.0126035167133814,0.00016824702020076148,0.0001542566315338,0.013681181758211288,0.013442085296558598
459.0,0.0007352433668670095,0.0007509848265627,0.012806508886989344,0.0127001650477677,0.00016985269797379924,0.0001566739010623,0.013711604951830152,0.0135012429002734
460.0,0.0006903467212749294,0.0007121965424931,0.012877770579330886,0.0127876207322757,0.00017138416095960498,0.00015954344808670001,0.01373950146156542,0.0135527798477361
461.0,0.0006475661861997117,0.0006684471109411,0.012944648630555026,0.012873630299742199,0.00017284320433005133,0.0001615384455843,0.01376505802108479,0.0135970349811482
462.0,0.000606865316720564,0.0006333582811454,0.01300735298993175,0.0129523968407103,0.00017423173229337083,0.0001633987844101,0.013788450038945684,0.013642573031146401
463.0,0.000568201620353072,0.0006050419043369,0.013066089470157376,0.0130281935724907,0.00017555174094548016,0.000165103973027,0.013809842831455928,0.013691758574735301
464.0,0.0005315260072792297,0.0005844888926992,0.01312105911644271,0.0130933105542773,0.00017680530230757403,0.000166265404072,0.013829390426029514,0.013737483975929101
465.0,0.0004967850471225661,0.0005562127671242,0.013172458243365501,0.0131648428508344,0.00017799454152900095,0.0001674707455536,0.013847237832017068,0.0137819454883927
466.0,0.00046392103815373257,0.0005337503833399,0.013220477386120097,0.0132287676642703,0.00017912163051826712,0.0001686204671489,0.013863520054792097,0.013824557639639698
467.0,0.0004328729756090134,0.0005144012495024,0.013265301395221758,0.013286188610222101,0.00018018877191977595,0.00016966480369659997,0.013878363142750547,0.0138636737883018
