Total Cases,Deaths,Recovered,Date,Currently Positive
0.0023804728704793984,0.00021981112090055605,0.0005680719758642801,4/2/20,0.0015925897737145622
0.002532012543508444,0.0002378667309474707,0.0006481539168958897,4/3/20,0.0016459918956650836
0.0026800473039989715,0.0002537769096829284,0.0007268763767004376,4/4/20,0.0016993940176156055
0.002796410400277793,0.00026851878423887987,0.0008088913301017756,4/5/20,0.0017190002859371377
0.002903235886073009,0.0002833881101598684,0.0008589584746671613,4/6/20,0.0017608893012459792
0.0030151169426813613,0.0002983424036575483,0.000917819763420103,4/7/20,0.00179895477560371
0.0031484735542984554,0.00031421009860466034,0.0010200570000739855,4/8/20,0.0018142064556198095
0.003254725508951005,0.000328123539287871,0.0011080834095262375,4/9/20,0.0018185185601368964
0.0033620183164180238,0.0003415909001934521,0.0011824937648136987,4/10/20,0.001837933651410873
0.0034630022813157083,0.00035274289463419346,0.0012555871226624436,4/11/20,0.0018546722640190713
0.0035438064467491945,0.00036555175682041643,0.0013253030193377071,4/12/20,0.001852951670591071
0.0036132249569060383,0.00037717107293296033,0.0013749240841254631,4/13/20,0.0018611297998476148
0.003665097662476115,0.0003835436411848125,0.0014339128242434418,4/14/20,0.0018476411970478608
0.0037734950484401217,0.0003973933561855047,0.0015050519278282854,4/15/20,0.0018710497644263315
0.003928645843478551,0.00041028718594841905,0.0015888299584459694,4/16/20,0.0019295286990841619
0.004053781842050756,0.00042488036724516064,0.0015888299584459694,4/17/20,0.0020400715163596257
0.0040726234021820655,0.00042575128490624707,0.0015888299584459694,4/18/20,0.002058042158829849
0.004220212082894963,0.0004344604615171118,0.0016432092075284418,4/19/20,0.002142542413849409
0.004252839632344446,0.00044293597729207527,0.0017118205257067173,4/20/20,0.0020980831293456537
0.004337127468422278,0.00045206999178639675,0.0017527536557777814,4/21/20,0.0021323038208580997
0.00442657708478411,0.0004613102157515825,0.0018249973378596128,4/22/20,0.0021402695311729153
0.004525033264275227,0.00047065664918763243,0.0018958390549260367,4/23/20,0.002158537560161558
0.004311892098144943,0.000478452424349065,0.0019617951363327074,4/24/20,0.0018716445374631708
0.004373812219658774,0.0004864818603463988,0.0020330192074942423,4/25/20,0.0018543111518181331
0.004410539454683616,0.0004925995258681769,0.00208960761357069,4/26/20,0.001828332315244749
0.004449433362914087,0.0004996305928393872,0.0021427760746853103,4/27/20,0.001807026695389389
0.004477217760492163,0.0005060244029854123,0.002178313763636473,4/28/20,0.0017928795938702774
0.004522760381598733,0.0005156469810457091,0.002314240644448481,4/29/20,0.0016928727561045433
0.004533763682780265,0.0005213398086840304,0.0023801542420668056,4/30/20,0.0016322696320294292
0.004571595496302094,0.0005213398086840304,0.0023801542420668056,5/1/20,0.0016701014455512584
0.004600611923742195,0.0005331715437383028,0.002490569607977232,5/2/20,0.0015768707720266598
0.004619389758190986,0.0005366552143826486,0.0025257037009391104,5/3/20,0.0015570308428692276
0.004630966590515184,0.0005401388850269945,0.002577555164615015,5/4/20,0.0015132725408731748
0.0046589634070349885,0.00054406863544897,0.0026230765438274126,5/5/20,0.001491818227758606
0.004680120333631138,0.0005492516576271432,0.0026765211495662798,5/6/20,0.0014543475264377145
0.004703953738893065,0.0005537761810859583,0.0027298170620459372,5/7/20,0.0014203604957611698
0.004733904809676771,0.0005586405748515388,0.002785831936979718,5/8/20,0.0013894322978455138
0.004749220215375389,0.0005624428739084773,0.0028453942082403635,5/9/20,0.0013413831332265477
0.004765618957676822,0.0005654804647751935,0.002892423761939033,5/10/20,0.0013077147309625949
0.0048311714430942084,0.000568093217758453,0.0029130921249692072,5/11/20,0.0013499861003665485
0.004843789128232876,0.0005718317911328729,0.002952198452141407,5/12/20,0.0013197588849585963
0.004857830020281124,0.0005757402996606757,0.0029913472631019527,5/13/20,0.0012907424575184954
0.0048758643884338655,0.000580349790696182,0.0030455353351368695,5/14/20,0.001249979262600814
0.004889522926387001,0.000583281172092034,0.0030754651640264017,5/15/20,0.0012307765902685656
0.004900462501886015,0.0005854903290860096,0.003110790434035836,5/16/20,0.0012041817387641695
0.004900462501886015,0.0005854903290860096,0.003110790434035836,5/17/20,0.0012041817387641695
0.004919750141794954,0.0005885916456352442,0.0031942710781351,5/18/20,0.0011368874180246093
0.004928905398183449,0.0005900573363331703,0.0031942710781351,5/19/20,0.0011445769837151783
0.00493990869936498,0.0005923939446921827,0.0031942710781351,5/20/20,0.001153243676537697
