Total Cases,Deaths,Recovered,Total Cases Number,Deaths Number,Recovered Number,Date,Currently Positive,Currently Positive Number
0.002635137157329239,0.00040830668265217924,0.0008693721777371918,176712,27381,58300,5/14/20,0.001357458296939868,91031
0.002644188768167772,0.00040985753525054404,0.0008819430310104757,177319,27485,59143,5/15/20,0.0013523882019067523,90691
0.002642518619215687,0.00040982771116211393,0.0008819281189662607,177207,27483,59142,5/16/20,0.0013507627890873123,90582
0.0026430107166747836,0.00041846178476262567,0.000893335832790771,177240,28062,59907,5/17/20,0.001331213099121387,89271
0.0026476930985583082,0.00042041526255479674,0.0009009260632962295,177554,28193,60416,5/18/20,0.001326351772707282,88945
0.0026607262252022583,0.00041717934896013173,0.0009133030599947178,178428,27976,61246,5/19/20,0.0013302438162474087,89206
0.002670284845544103,0.0004187898497353567,0.0009202669846431445,179069,28084,61713,5/20/20,0.0013312280111656017,89272
0.002673819000023069,0.00042002754940520553,0.0009277677428833126,179306,28167,62216,5/21/20,0.0013260237077345506,88923
0.0026788741830119697,0.00042113104067711894,0.0009328527499606434,179645,28241,62557,5/22/20,0.0013248903923742074,88847
0.002683631125116569,0.0004217722585783659,0.0009378631968168989,179964,28284,62893,5/23/20,0.0013239956697213044,88787
0.0026820653604739896,0.0004222643560374625,0.000938877215823522,179859,28317,62961,5/24/20,0.001320923788613005,88581
0.0026866433580480086,0.0004236064400168166,0.0009475411135124638,180166,28407,63542,5/25/20,0.0013154958045187282,88217
0.0026824828977120106,0.000424695019244515,0.0009576813035786952,179887,28480,64222,5/26/20,0.0013001065748888003,87185
0.002684824088653773,0.000425679214162708,0.0009618715880031233,180044,28546,64503,5/27/20,0.0012972732864879415,86995
0.0027335119130158987,0.000426648497036686,0.0009707442543110757,183309,28611,65098,5/28/20,0.001336119161668137,89600
0.0027410723194329274,0.00042742392333586845,0.0009782151884628139,183816,28663,65599,5/29/20,0.001335433207634245,89554
0.0027679139990200103,0.00042827390985612605,0.0009849554324480147,185616,28720,66051,5/30/20,0.0013546846567158695,90845
0.002771418329410546,0.0004287361832267925,0.000986029099631498,185851,28751,66123,5/31/20,0.0013566530465522555,90977
0.002772924445876266,0.0004291537204648138,0.0009859843634988528,185952,28779,66120,6/1/20,0.0013577863619125994,91053
0.002760398328735627,0.00043074930919582375,0.0009914272596373448,185112,28886,66485,6/2/20,0.0013382217599024586,89741
